Unicode Code,Glyph,Type,Case,Transformations,Base,Additions
U+1D0E,ᴎ,Letter,SmallCap,Reversed,N,
U+1D0F,ᴏ,Letter,SmallCap,None,O,
U+1D10,ᴐ,Letter,SmallCap,None,OPEN O,
U+1D11,ᴑ,Letter,Small,Sideways,SIDEWAYS O,
U+1D12,ᴒ,Letter,Small,Sideways,SIDEWAYS OPEN O,
U+1D13,ᴓ,Letter,Small,Sideways,SIDEWAYS O,STROKE
U+1D14,ᴔ,Letter,Small,Turned,OE,
U+1D15,ᴕ,Letter,SmallCap,None,OU,
U+1D16,ᴖ,Letter,Small,None,TOP HALF O,
U+1D17,ᴗ,Letter,Small,None,BOTTOM HALF O,
U+1D18,ᴘ,Letter,SmallCap,None,P,
U+1D19,ᴙ,Letter,SmallCap,Reversed,R,
U+1D1A,ᴚ,Letter,SmallCap,Turned,R,
U+1D1B,ᴛ,Letter,SmallCap,None,T,
U+1D1C,ᴜ,Letter,SmallCap,None,U,
U+1D1D,ᴝ,Letter,Small,Sideways,SIDEWAYS U,
U+1D1E,ᴞ,Letter,Small,Sideways,SIDEWAYS DIAERESIZED U,
U+1D1F,ᴟ,Letter,Small,"Turned, Sideways",SIDEWAYS  M,
U+1D20,ᴠ,Letter,SmallCap,None,V,
U+1D21,ᴡ,Letter,SmallCap,None,W,
U+1D22,ᴢ,Letter,SmallCap,None,Z,
U+1D23,ᴣ,Letter,SmallCap,None,EZH,
U+1D24,ᴤ,Letter,None,None,VOICED LARYNGEAL SPIRANT,
U+1D25,ᴥ,Letter,None,None,AIN,
U+1D26,ᴦ,Letter,SmallCap,None,GAMMA,
U+1D27,ᴧ,Letter,SmallCap,None,LAMDA,
U+1D28,ᴨ,Letter,SmallCap,None,PI,
U+1D29,ᴩ,Letter,SmallCap,None,RHO,
U+1D2A,ᴪ,Letter,SmallCap,None,PSI,
U+1D2B,ᴫ,Letter,SmallCap,None,EL,
U+1D2C,ᴬ,Modifier,SmallCap,None,LETTER CAPITAL A,
U+1D2D,ᴭ,Modifier,SmallCap,None,LETTER CAPITAL AE,
U+1D2E,ᴮ,Modifier,SmallCap,None,LETTER CAPITAL B,
U+1D2F,ᴯ,Modifier,SmallCap,None,LETTER CAPITAL BARRED B,
U+1D30,ᴰ,Modifier,SmallCap,None,LETTER CAPITAL D,
U+1D31,ᴱ,Modifier,SmallCap,None,LETTER CAPITAL E,
U+1D32,ᴲ,Modifier,SmallCap,Reversed,LETTER CAPITAL  E,
U+1D33,ᴳ,Modifier,SmallCap,None,LETTER CAPITAL G,
U+1D34,ᴴ,Modifier,SmallCap,None,LETTER CAPITAL H,
U+1D35,ᴵ,Modifier,SmallCap,None,LETTER CAPITAL I,
U+1D36,ᴶ,Modifier,SmallCap,None,LETTER CAPITAL J,
U+1D37,ᴷ,Modifier,SmallCap,None,LETTER CAPITAL K,
U+1D38,ᴸ,Modifier,SmallCap,None,LETTER CAPITAL L,
U+1D39,ᴹ,Modifier,SmallCap,None,LETTER CAPITAL M,
U+1D3A,ᴺ,Modifier,SmallCap,None,LETTER CAPITAL N,
U+1D3B,ᴻ,Modifier,SmallCap,Reversed,LETTER CAPITAL  N,
U+1D3C,ᴼ,Modifier,SmallCap,None,LETTER CAPITAL O,
U+1D3D,ᴽ,Modifier,SmallCap,None,LETTER CAPITAL OU,
U+1D3E,ᴾ,Modifier,SmallCap,None,LETTER CAPITAL P,
U+1D3F,ᴿ,Modifier,SmallCap,None,LETTER CAPITAL R,
U+1D40,ᵀ,Modifier,SmallCap,None,LETTER CAPITAL T,
U+1D41,ᵁ,Modifier,SmallCap,None,LETTER CAPITAL U,
U+1D42,ᵂ,Modifier,SmallCap,None,LETTER CAPITAL W,
U+1D43,ᵃ,Modifier,Small,None,A,
U+1D44,ᵄ,Modifier,Small,Turned, A,
U+1D45,ᵅ,Modifier,Small,None,ALPHA,
U+1D46,ᵆ,Modifier,Small,Turned, AE,
U+1D47,ᵇ,Modifier,Small,None,B,
U+1D48,ᵈ,Modifier,Small,None,D,
U+1D49,ᵉ,Modifier,Small,None,E,
U+1D4A,ᵊ,Modifier,Small,None,SCHWA,
U+1D4B,ᵋ,Modifier,Small,None,OPEN E,
U+1D4C,ᵌ,Modifier,Small,Turned, OPEN E,
U+1D4D,ᵍ,Modifier,Small,None,G,
U+1D4E,ᵎ,Modifier,Small,Turned, I,
U+1D4F,ᵏ,Modifier,Small,None,K,
U+1D50,ᵐ,Modifier,Small,None,M,
U+1D51,ᵑ,Modifier,Small,None,ENG,
U+1D52,ᵒ,Modifier,Small,None,O,
U+1D53,ᵓ,Modifier,Small,None,OPEN O,
U+1D54,ᵔ,Modifier,Small,None,TOP HALF O,
U+1D55,ᵕ,Modifier,Small,None,BOTTOM HALF O,
U+1D56,ᵖ,Modifier,Small,None,P,
U+1D57,ᵗ,Modifier,Small,None,T,
U+1D58,ᵘ,Modifier,Small,None,U,
U+1D59,ᵙ,Modifier,Small,Sideways,SIDEWAYS U,
U+1D5A,ᵚ,Modifier,Small,Turned, M,
U+1D5B,ᵛ,Modifier,Small,None,V,
U+1D5C,ᵜ,Modifier,Small,None,AIN,
U+1D5D,ᵝ,Modifier,Small,None,BETA,
U+1D5E,ᵞ,Modifier,Small,None,GREEK GAMMA,
U+1D5F,ᵟ,Modifier,Small,None,DELTA,
U+1D60,ᵠ,Modifier,Small,None,GREEK PHI,
U+1D61,ᵡ,Modifier,Small,None,CHI,
U+1D62,ᵢ,Subscript,Small,None,I,
U+1D63,ᵣ,Subscript,Small,None,R,
U+1D64,ᵤ,Subscript,Small,None,U,
U+1D65,ᵥ,Subscript,Small,None,V,
U+1D66,ᵦ,Subscript,Small,None,BETA,
U+1D67,ᵧ,Subscript,Small,None,GAMMA,
U+1D68,ᵨ,Subscript,Small,None,RHO,
U+1D69,ᵩ,Subscript,Small,None,PHI,
U+1D6A,ᵪ,Subscript,Small,None,CHI,
U+1D6B,ᵫ,Letter,Small,None,UE,
U+1D6C,ᵬ,Letter,Small,None,B,MIDDLE TILDE
U+1D6D,ᵭ,Letter,Small,None,D,MIDDLE TILDE
U+1D6E,ᵮ,Letter,Small,None,F,MIDDLE TILDE
U+1D6F,ᵯ,Letter,Small,None,M,MIDDLE TILDE
U+1D70,ᵰ,Letter,Small,None,N,MIDDLE TILDE
U+1D71,ᵱ,Letter,Small,None,P,MIDDLE TILDE
U+1D72,ᵲ,Letter,Small,None,R,MIDDLE TILDE
U+1D73,ᵳ,Letter,Small,None,R,FISHHOOK AND MIDDLE TILDE
U+1D74,ᵴ,Letter,Small,None,S,MIDDLE TILDE
U+1D75,ᵵ,Letter,Small,None,T,MIDDLE TILDE
U+1D76,ᵶ,Letter,Small,None,Z,MIDDLE TILDE
U+1D77,ᵷ,Letter,Small,Turned,G,
U+1D78,ᵸ,Modifier,None,None,LETTER CYRILLIC EN,
U+1D79,ᵹ,Letter,Small,None,INSULAR G,
U+1D7A,ᵺ,Letter,Small,None,TH,STRIKETHROUGH
U+1D7B,ᵻ,Letter,SmallCap,None,I,STROKE
U+1D7C,ᵼ,Letter,Small,None,IOTA,STROKE
U+1D7D,ᵽ,Letter,Small,None,P,STROKE
U+1D7E,ᵾ,Letter,SmallCap,None,U,STROKE
U+1D7F,ᵿ,Letter,Small,None,UPSILON,STROKE
U+1D80,ᶀ,Letter,Small,None,B,PALATAL HOOK
U+1D81,ᶁ,Letter,Small,None,D,PALATAL HOOK
U+1D82,ᶂ,Letter,Small,None,F,PALATAL HOOK
U+1D83,ᶃ,Letter,Small,None,G,PALATAL HOOK
U+1D84,ᶄ,Letter,Small,None,K,PALATAL HOOK
U+1D85,ᶅ,Letter,Small,None,L,PALATAL HOOK
U+1D86,ᶆ,Letter,Small,None,M,PALATAL HOOK
U+1D87,ᶇ,Letter,Small,None,N,PALATAL HOOK
U+1D88,ᶈ,Letter,Small,None,P,PALATAL HOOK
U+1D89,ᶉ,Letter,Small,None,R,PALATAL HOOK
U+1D8A,ᶊ,Letter,Small,None,S,PALATAL HOOK
U+1D8B,ᶋ,Letter,Small,None,ESH,PALATAL HOOK
U+1D8C,ᶌ,Letter,Small,None,V,PALATAL HOOK
U+1D8D,ᶍ,Letter,Small,None,X,PALATAL HOOK
U+1D8E,ᶎ,Letter,Small,None,Z,PALATAL HOOK
U+1D8F,ᶏ,Letter,Small,None,A,RETROFLEX HOOK
U+1D90,ᶐ,Letter,Small,None,ALPHA,RETROFLEX HOOK
U+1D91,ᶑ,Letter,Small,None,D,HOOK AND TAIL
U+1D92,ᶒ,Letter,Small,None,E,RETROFLEX HOOK
